artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo,,70s,artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo,,,80s,artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo,,,90s,artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo,,,00's,artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo,,,10's,artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo
The Hollies,The Air That I Breathe,1974,12.936,708,8,,0.473,0.00164,0.246,167.792,,,Bonnie Tyler,It's a Heartache,1978,16.589,349,7,49,0.487,0.000868,0.553,118.913,,,,J Geils Band,Centrefold,1982,18.469,254,7,48,0.677,0,0.888,114.37,,,,Will Smith,Men in Black,1997,19.175,218,7,48,0.801,0.00296,0.657,107.545,,,,The Black Eyed Peas,Shut Up,2003,18.826,230,7,48,0.716,0,0.574,112.962,,,,Nico & Vinz,Am I Wrong,2014,4.008,,8,,0.68,2.13E-06,0.76,119.939
Wings,Band On the Run,1974,12.624,757,9,,0.557,0.00137,0.634,124.994,,,Abba,SOS,1975,16.062,378,2,51,0.698,0.00364,0.561,124.867,,,,Wham!,Wake Me Up Before You Go Go,1984,18.441,255,8,49,0.574,0,0.9,81.548,,,,Wet Wet Wet,Love is All Around,1994,19.036,222,7,49,0.689,0,0.547,84.09,,,,Katy Perry,Hot 'n' cold,2008,18.78,233,7,49,0.841,0,0.861,132.032,,,,Ed Sheeran,Sing,2014,3.877,,9,,0.67,1.22E-06,0.939,119.988
The Rubettes,Sugar Baby Love,1974,12.606,758,10,,0.768,0.0181,0.791,129.694,,,Three Dog Night,Joy to the World,1971,15.83,390,5,52,0.679,0.00121,0.971,126.867,,,,The Pet Shop Boys,West End Girls,1986,18.405,256,6,50,0.905,0.0199,0.644,113.247,,,,Christina Aguilera,Genie in a Bottle,1999,18.912,227,8,50,0.8,0.000123,0.912,175.815,,,,Alicia Keys,No One,2007,18.78,234,7,50,0.548,8.68E-06,0.166,90.042,,,,Iggy Azalea & Charli XCX,Fancy,2014,3.877,,10,,0.716,0,0.377,94.981
Billy Swan,I Can Help,1975,16.863,336,1,46,0.675,0.019,0.53,125.313,,,10cc,I'm Not in Love,1975,15.805,393,3,53,0.523,0.000498,0.164,133.738,,,,Phil Collins,A Groovy Kind of Love,1988,18.294,263,1,51,0.306,1.91E-05,0.182,144.125,,,,TLC,Waterfalls,1995,18.859,228,5,51,0.505,0.000074,0.757,171.798,,,,Alicia Keys,Fallin',2001,18.565,248,3,51,0.609,0.00101,0.482,95.982,,,,Adele,Hello,2015,6.515,,1,92,0.451,0,0.289,157.966
Abba,SOS,1975,16.062,378,2,51,0.698,0.00364,0.561,124.867,,,Norman Greenbaum,Spirit in the Sky,1970,15.768,399,6,54,0.617,0.00404,0.543,128.903,,,,Bonnie Tyler,Total Eclipse of the Heart,1983,18.291,264,7,52,0.658,0,0.184,130.276,,,,REM,Losing My Religion,1991,18.798,232,3,52,0.855,0.0000012,0.803,125.639,,,,Mariah Carey,We Belong Together,2005,18.537,251,5,52,0.462,0,0.762,139.986,,,,Mark Ronson & Bruno Mars,UPTOWN FUNK,2015,6.33,,2,100,0.609,8.15E-05,0.928,114.988
10cc,I'm Not in Love,1975,15.805,393,3,53,0.523,0.000498,0.164,133.738,,,Bachman-Turner Overdrive,You Ain't Seen Nothin' Yet,1974,15.763,400,5,55,0.439,0.000277,0.76,118.392,,,,Lionel Richie,"Say You, Say Me",1985,18.193,268,5,53,0.405,0,0.257,128.068,,,,Vanilla Ice,Ice Ice Baby,1990,18.719,236,4,53,0.792,7.71E-06,0.583,116.012,,,,Rihanna,Don't Stop the Music,2007,18.403,257,8,53,0.669,6.92E-05,0.542,122.668,,,,Wiz Khalifa & Charlie Puth,See You Again,2015,5.76,,3,,0.481,1.03E-06,0.283,80.025
Captain & Tennille,Love Will Keep Us Together,1975,15.323,440,4,61,0.788,0,0.926,129.62,,,The Rolling Stones,Brown Sugar,1971,15.491,424,6,56,0.934,0.00021,0.963,128.606,,,,Bill Medley & Jennifer Warnes,(I've Had) the Time of My Life,1987,18.17,269,6,54,0.781,0.00342,0.385,108.695,,,,Mr Big,To Be With You,1992,18.691,237,5,54,0.408,0,0.479,83.646,,,,Eminem,Stan,2000,18.377,258,3,54,0.768,0.00000234,0.507,80.063,,,,Ellie Goulding,Love Me Like You Do,2015,4.801,,4,,0.606,0,0.275,189.857
Patti LaBelle,Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?),1975,14.18,547,5,87,0.654,0.551,0.947,117.955,,,The Four Seasons,December 1963 (Oh What a Night),1976,15.483,425,6,57,0.495,9.12E-06,0.967,104.409,,,,Bobby McFerrin,Don't Worry Be Happy,1988,18.006,277,2,55,0.166,7.14E-05,0.747,68.837,,,,MC Hammer,U Can't Touch This,1990,18.68,239,5,55,0.517,0.000339,0.866,133.148,,,,Christina Aguilera,Beautiful,2003,18.027,275,8,55,0.573,3.05E-06,0.0992,76.193,,,,Ed Sheeran,Thinking Out Loud,2015,4.779,,5,,0.445,0,0.591,78.998
The Sweet,Fox On the Run,1975,13.961,569,6,91,0.644,6.17E-05,0.828,128.067,,,Rod Stewart,Tonight's the Night (Gonna Be Alright),1976,15.443,428,7,58,0.514,0.125,0.724,136.542,,,,Fine Young Cannibals,She Drives Me Crazy,1989,17.875,284,3,56,0.687,0.000188,0.965,108.804,,,,Bon Jovi,Always,1994,18.671,240,8,56,0.659,0,0.327,140.795,,,,Daniel Powter,Bad Day,2005,17.993,279,6,56,0.785,0.00336,0.52,140.046,,,,Justin Bieber,What Do You Mean?,2015,4.312,,6,,0.567,0.00142,0.793,125.02
George Baker Selection,Una Paloma Blanca,1975,13.42,638,7,,0.712,5.35E-05,0.943,132.801,,,The Manhattans,Kiss & Say Goodbye,1976,15.412,433,8,59,0.42,0,0.583,129.084,,,,Lionel Richie,All Night Long (All Night),1983,17.829,288,8,57,0.576,0.00206,0.78,108.81,,,,Mariah Carey,Fantasy,1995,18.583,245,6,57,0.727,0,0.801,102.358,,,,Green Day,Boulevard of Broken Dreams,2005,17.977,280,7,57,0.682,2.94E-05,0.474,167.06,,,,OMI,Cheerleader,2015,4.22,,7,,0.68,0.000012,0.594,118.026
Carpenters,Please Mr Postman,1975,12.798,724,8,,0.547,1.79E-06,0.964,132.943,,,Lobo,I'd Love You to Want Me,1973,15.335,438,6,60,0.543,0.000123,0.44,77.507,,,,Roxette,The Look,1989,17.783,289,4,58,0.838,8.34E-06,0.541,95.011,,,,Madonna,Frozen,1998,18.547,250,6,58,0.616,0.0153,0.31,108.017,,,,Elvis Presley & JXL,A Little Less Conversation,2002,17.92,282,9,58,0.763,3.07E-06,0.823,115.754,,,,Major Lazer & DJ Snake,Lean On,2015,3.92,,8,,0.809,0.00123,0.274,98.007
Silver Convention,Fly Robin Fly,1975,12.665,747,9,,0.406,0.731,0.939,100.278,,,Captain & Tennille,Love Will Keep Us Together,1975,15.323,440,4,61,0.788,0,0.926,129.62,,,,UB40,Red Red Wine,1983,17.665,296,9,59,0.468,1.32E-05,0.843,89.119,,,,Chumbawamba,Tubthumping,1997,18.364,260,8,59,0.871,0,0.622,206.679,,,,Nelly Furtado & Timbaland,Promiscuous,2006,17.886,283,5,59,0.978,8.29E-05,0.843,114.321,,,,The Weeknd,Can't Feel My Face,2015,3.703,,9,,0.769,0,0.59,107.939
Glen Campbell,Rhinestone Cowboy,1975,12.507,770,10,,0.633,6.82E-05,0.647,115.191,,,Hot Butter,Popcorn,1972,15.283,442,3,63,0.626,0.703,0.952,136.886,,,,The Bangles,Eternal Flame,1989,17.584,299,5,60,0.358,0,0.4,78.988,,,,Michael Jackson,You Are Not Alone,1995,18.346,261,7,60,0.402,8.09E-05,0.256,119.878,,,,Britney Spears,Oops!... I Did it Again,2000,17.624,298,4,60,0.834,1.77E-05,0.894,95.053,,,,Taylor Swift & Kendrick Lamar,Bad Blood,2015,3.305,,10,,0.802,6.45E-06,0.295,170.157
Abba,Dancing Queen,1976,28.475,29,1,4,0.884,0.00166,0.752,100.812,,,Led Zeppelin,Whole Lotta Love,1970,15.244,445,7,64,0.902,0.131,0.422,89.74,,,,U2,I Still Haven't Found What I'm Looking For,1987,17.42,303,7,61,0.774,0.00191,0.657,100.894,,,,Sheryl Crow,All I Wanna Do,1994,18.263,265,9,61,0.528,0.0186,0.931,120.091,,,,N Sync,"Bye, Bye, Bye",2000,17.329,307,5,61,0.926,0.0012,0.861,172.638,,,,"Drake, Wizkid & Kyla",One Dance,2016,4.893,,1,,0.625,0.00188,0.37,103.967
Queen,Bohemian Rhapsody,1976,26.687,42,2,7,0.402,0,0.228,143.883,,,Exile,Kiss You All Over,1978,15.238,447,8,65,0.267,0.000447,0.497,102.428,,,,Richard Marx,Right Here Waiting,1989,17.369,306,6,62,0.252,0,0.126,177.679,,,,Janet Jackson,That's the Way Love Goes,1993,18.169,270,5,62,0.7,0.471,0.582,97.675,,,,Shaggy & Ricardo 'RikRok' Ducent,It Wasn't Me,2001,17.267,309,4,62,0.606,0,0.654,94.759,,,,Sia & Sean Paul,Cheap Thrills,2016,4.343,,2,,0.698,0.00143,0.732,89.976
Chicago,If You Leave Me Now,1976,22.065,127,3,20,0.564,0.000828,0.276,104.212,,,Daniel Boone,Beautiful Sunday,1972,15.212,449,4,66,0.463,0,0.91,121.923,,,,John Lennon,Woman,1981,17.208,313,6,63,0.656,0.00227,0.746,79.701,,,,Roxette,Joyride,1991,18.121,271,4,63,0.74,0,0.615,102.233,,,,LeAnn Rimes,Can't Fight the Moonlight,2001,17.226,312,5,63,0.834,0,0.626,97.865,,,,Justin Bieber,Sorry,2016,4.332,,3,,0.76,0,0.41,99.945
Elton John & Kiki Dee,Don't Go Breaking My Heart,1976,21.605,135,4,22,0.863,5.59E-06,0.776,131.196,,,The Sweet,The Ballroom Blitz,1973,15.08,452,7,67,0.799,0.00154,0.889,108.381,,,,Men At Work,Down Under,1982,17.179,314,8,64,0.79,0.0261,0.891,107.231,,,,Bryan Adams,Please Forgive Me,1993,18.085,272,6,64,0.456,0,0.144,134.11,,,,Shaggy,Angel,2001,17.089,322,6,64,0.766,0,0.807,170.531,,,,Justin Bieber,Love Yourself,2016,4.29,,4,,0.367,0,0.539,100.171
Abba,Fernando,1976,19.786,185,5,30,0.526,2.17E-06,0.467,110.517,,,The Kinks,Lola,1970,14.991,457,8,68,0.917,0.231,0.902,152.113,,,,Jefferson Starship,Nothing's Gonna Stop Us Now,1987,17.136,318,8,65,0.801,0,0.534,95.988,,,,Roxette,It Must Have Been Love,1990,18.018,276,6,65,0.652,0.0000549,0.722,80.609,,,,Dido,White Flag,2003,17.081,323,9,65,0.538,5.03E-06,0.284,170.111,,,,The Chainsmokers & Halsey,Closer,2016,4.287,,5,,0.524,0,0.661,95.01
The Four Seasons,December 1963 (Oh What a Night),1976,15.483,425,6,57,0.495,9.12E-06,0.967,104.409,,,Isaac Hayes,Theme From 'Shaft',1971,14.918,463,7,69,0.706,0.000192,0.859,120.355,,,,Paul McCartney & Michael Jackson,Say Say Say,1983,16.956,327,10,66,0.526,0.00159,0.843,117.525,,,,Four Non Blondes,What's Up?,1993,17.998,278,7,66,0.564,0,0.454,134.355,,,,OutKast,Ms Jackson,2001,16.932,329,7,66,0.805,0,0.615,94.946,,,,Justin Timberlake,Can't Stop The Feeling,2016,4.218,,6,,0.83,0,0.701,113.03
Rod Stewart,Tonight's the Night (Gonna Be Alright),1976,15.443,428,7,58,0.514,0.125,0.724,136.542,,,Tom Jones,She's a Lady,1971,14.9,467,8,71,0.876,0,0.624,119.702,,,,Phil Collins,In the Air Tonight,1981,16.881,335,7,67,0.239,4.10E-06,0.298,189.507,,,,Rednex,Cotton Eye Joe,1994,17.763,290,10,67,0.937,0.00206,0.614,131.994,,,,Mario,Let Me Love You,2005,16.914,331,8,67,0.578,0,0.556,94.514,,,,"Major Lazer, Justin Bieber & MO",Cold Water,2016,4.151,,7,,0.798,0,0.501,92.943
The Manhattans,Kiss & Say Goodbye,1976,15.412,433,8,59,0.42,0,0.583,129.084,,,Barbra Streisand,The Way We Were,1974,14.711,490,6,73,0.32,0.00141,0.171,138.108,,,,Dexys Midnight Runners,Come On Eileen,1982,16.862,337,9,68,0.652,0,0.806,108.097,,,,Shaggy,Boombastic,1995,17.733,292,8,68,0.538,1.67E-05,0.78,158.323,,,,Nelly Furtado,Say It Right,2007,16.909,333,9,68,0.869,0.00111,0.834,116.951,,,,Lukas Graham,Seven Years,2016,3.921,,8,,0.473,0,0.34,119.992
Wings,Silly Love Songs,1976,14.673,493,9,74,0.335,0.244,0.818,125.11,,,Wings,Silly Love Songs,1976,14.673,493,9,74,0.335,0.244,0.818,125.11,,,,Nena,99 Red Balloons,1984,16.836,338,9,69,0.49,0,0.566,96.985,,,,Culture Beat,Mr Vain,1993,17.691,293,8,69,0.996,0.262,0.4,132.871,,,,Kanye West & Jamie Foxx,Gold Digger,2005,16.785,342,9,69,0.696,0,0.621,92.941,,,,DJ Snake & Justin Bieber,Let Me Love You,2016,3.621,,9,,0.716,2.63E-05,0.163,99.988
Bellamy Brothers,Let Your Love Flow,1976,13.838,589,10,94,0.553,7.16E-06,0.946,109.071,,,The Rolling Stones,Miss You,1978,14.626,498,9,75,0.71,0.0215,0.845,109.689,,,,Phil Collins,Against All Odds (Take a Look At Me Now),1984,16.781,343,10,70,0.498,0,0.111,116.271,,,,Seal,Kiss From a Rose,1995,17.663,297,9,70,0.532,0,0.223,131.741,,,,The Black Eyed Peas,Don't Phunk With My Heart,2005,16.349,361,10,70,0.929,0,0.609,130.899,,,,The Weeknd & Daft Punk,Starboy,2016,3.263,,10,,0.587,6.35E-06,0.486,186.003
Eagles,Hotel California,1977,23.505,91,1,15,0.508,0.000494,0.609,147.125,,,Frankie Valli,Grease,1978,14.595,504,10,76,0.464,0,0.872,109.374,,,,Queen,Crazy Little Thing Called Love,1980,16.696,344,8,71,0.762,4.43E-06,0.715,76.961,,,,Natalie Imbruglia,Torn,1998,17.274,308,7,71,0.886,0.000187,0.608,96.308,,,,Destiny's Child,Lose My Breath,2004,16.205,368,4,71,0.899,0.219,0.545,119.011,,,,Ed Sheeran,Shape of You,2017,4.901,,1,,0.652,0,0.931,95.977
Bee Gees,How Deep is Your Love?,1977,18.825,231,2,34,0.357,0,0.674,104.938,,,Creedence Clearwater Revival,Up Around the Bend,1970,14.543,511,9,77,0.85,0.779,0.813,130.318,,,,Jive Bunny & The Mastermixers,Swing the Mood,1989,16.533,353,7,72,0.512,0.0173,0.879,92.512,,,,Jennifer Lopez,If You Had My Love,1999,17.264,310,9,72,0.625,5.81E-05,0.814,94.02,,,,Santana,Maria Maria,2000,16.185,370,6,73,0.601,0.00201,0.68,97.911,,,,Luis Fonsi & Daddy Yankee,Despacito,2017,4.577,,2,,0.797,0,0.839,177.928
Boney M,Ma Baker,1977,18.474,253,3,36,0.728,0.000049,0.904,129.001,,,Neil Young,Heart of Gold,1972,14.419,519,5,78,0.459,0.0274,0.803,171.165,,,,Bon Jovi,Livin' On a Prayer,1987,16.43,356,9,73,0.887,0.000214,0.795,122.511,,,,Oasis,Wonderwall,1996,17.152,317,7,73,0.865,0,0.478,174.53,,,,Kanye West,Stronger,2007,16.102,375,10,74,0.717,0,0.49,103.992,,,,"Clean Bandit, Sean Paul & Anne-Marie",Rockabye,2017,4.193,,3,,0.763,0,0.724,101.965
Donna Summer,I Feel Love,1977,17.16,316,4,42,0.79,0.711,0.96,128.13,,,Christie,Yellow River,1970,14.337,526,10,79,0.544,0,0.877,129.851,,,,Peter Gabriel,Sledgehammer,1986,16.166,372,7,77,0.682,0,0.468,96.319,,,,Enigma,Sadeness,1991,17.133,319,5,74,0.644,0.0472,0.49,95.647,,,,Enrique Iglesias,Hero,2001,15.89,386,8,75,0.651,1.05E-05,0.146,151.959,,,,Post Malone & 21 Savage,Rockstar,2017,3.175,,4,,0.52,7.01E-05,0.129,159.801
Wings,Mull of Kintyre,1977,16.819,339,5,47,0.363,0,0.418,90.807,,,Baccara,"Yes Sir, I Can Boogie",1977,14.328,529,6,80,0.754,0,0.507,122.5,,,,Tears For Fears,Everybody Wants to Rule the World,1985,15.934,385,6,78,0.795,0.00389,0.535,112.067,,,,Robert Miles,Children,1996,17.078,324,8,75,0.755,0.812,0.388,137.064,,,,Jason Mraz,I am Yours,2008,15.59,414,8,77,0.457,0,0.718,150.953,,,,Bruno Mars,24K Magic,2017,2.702,,5,,0.803,0,0.632,106.97
Baccara,"Yes Sir, I Can Boogie",1977,14.328,529,6,80,0.754,0,0.507,122.5,,,Tony Orlando & Dawn,Knock Three Times,1971,14.194,544,9,85,0.58,0,0.923,123.127,,,,U2,Desire,1988,15.859,388,3,79,0.827,0.00406,0.626,108.577,,,,Alanis Morissette,Ironic,1996,16.907,334,9,77,0.593,0,0.37,85.482,,,,Vanessa Carlton,A Thousand Miles,2002,15.576,416,10,78,0.825,0,0.268,94.931,,,,Kendrick Lamar,Humble,2017,2.523,,6,,0.621,5.39E-05,0.421,150.011
Debbie Boone,You Light Up My Life,1977,14.134,552,7,88,0.367,1.19E-05,0.0685,77.986,,,The Moody Blues,Nights in White Satin,1972,14.183,546,6,86,0.483,0.497,0.173,84.71,,,,The B52s,Love Shack,1989,15.797,395,8,80,0.817,0.00000161,0.871,133.858,,,,Kris Kross,Jump,1992,16.673,345,6,78,0.745,0.00403,0.481,101.972,,,,The Black Eyed Peas,Meet Me Half Way,2009,15.509,422,7,79,0.629,2.17E-05,0.4,130,,,,Taylor Swift,Look What You Made Me Do,2017,2.312,,7,,0.709,1.41E-05,0.506,128.07
Santa Esmerelda,Don't Let Me Be Misunderstood,1977,13.828,591,8,95,0.815,0.00105,0.784,117.809,,,Patti LaBelle,Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?),1975,14.18,547,5,87,0.654,0.551,0.947,117.955,,,,Kool & The Gang,Celebration,1981,15.794,397,8,81,0.664,0.0506,0.901,121.633,,,,The Goo Goo Dolls,Iris,1998,16.666,346,8,79,0.715,7.97E-06,0.497,155.925,,,,Kid Rock,All summer long,2008,15.369,436,9,80,0.864,0,0.887,102.997,,,,Bruno Mars,That's What I Like,2017,2.266,,8,,0.556,0,0.843,134.031
Queen,We Are the Champions,1977,13.809,593,9,96,0.459,0,0.172,64.223,,,Debbie Boone,You Light Up My Life,1977,14.134,552,7,88,0.367,1.19E-05,0.0685,77.986,,,,Prince,Batdance,1989,15.724,403,9,82,0.702,0.109,0.466,135.406,,,,Offspring,Pretty Fly (For a White Guy),1999,16.541,352,10,80,0.895,0,0.963,143.373,,,,The Scissor Sisters,I Don't Feel Like Dancin',2006,15.331,439,6,81,0.917,0,0.83,108.031,,,,The Weeknd & Daft Punk,I Feel It Coming,2017,2.071,,9,,0.819,0,0.585,92.987
Andy Gibb,I Just Wanna Be Your Everything,1977,13.316,649,10,,0.648,0.000017,0.868,97.017,,,Roberta Flack,The First Time Ever I Saw Your Face,1972,14.087,557,7,89,0.0264,0.00205,0.139,120.653,,,,Billy Ocean,Get Outta My Dreams Get Into My Car,1988,15.578,415,4,83,0.91,0.00000843,0.919,117.141,,,,Bon Jovi,Blaze of Glory,1990,16.428,357,7,81,0.704,0.0000418,0.416,78.797,,,,Akon,Smack That,2006,15.26,443,7,82,0.742,0,0.924,118.978,,,,"DJ Khaled, Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I'm the One,2017,1.961,,10,,0.668,0,0.811,80.924
Bee Gees,Stayin' Alive,1978,32.283,11,1,1,0.826,0.00629,0.945,103.564,,,Steve Miller Band,The Joker,1974,14.006,565,7,90,0.448,5.30E-06,0.796,83.293,,,,Madonna,Who's That Girl?,1987,15.498,423,10,84,0.646,0.0533,0.826,103.893,,,,Haddaway,What is Love?,1993,16.413,358,9,82,0.772,0.0149,0.737,123.871,,,,Eminem,Just Lose It,2004,15.043,455,5,83,0.633,4.04E-05,0.962,121.003,,,,Drake,God's Plan,2018,4.631,,1,,0.449,8.29E-05,0.357,77.169
John Travolta & Olivia Newton-John,You're the One That I Want,1978,27.364,37,2,5,0.612,0.00288,0.822,106.945,,,The Sweet,Fox On the Run,1975,13.961,569,6,91,0.644,6.17E-05,0.828,128.067,,,,Olivia Newton-John & Electric Light Orchestra,Xanadu,1980,15.369,435,9,86,0.654,0,0.708,127.555,,,,Extreme,More Than Words,1991,16.37,359,6,83,0.134,0,0.239,91.893,,,,Jennifer Lopez,Love Don't Cost a Thing,2001,14.959,459,9,84,0.842,3.54E-06,0.685,97.577,,,,Ed Sheeran,Perfect,2018,3.428,,2,,0.448,0,0.168,95.05
The Village People,YMCA,1978,26.56,44,3,8,0.951,0,0.671,126.643,,,Elton John,Goodbye Yellow Brick Road,1973,13.856,585,8,93,0.473,0.00141,0.397,121.227,,,,Kaoma,Lambada,1989,15.254,444,10,87,0.8,0.000723,0.967,118.921,,,,Snap,Rhythm is a Dancer,1992,16.318,364,7,84,0.745,0.000414,0.706,124.249,,,,Coldplay,Viva La Vida,2008,14.87,468,10,85,0.619,3.31E-06,0.416,138.017,,,,Lady Gaga & Bradley Cooper,Shallow,2018,3.248,,3,,0.385,0,0.323,95.799
Bee Gees,Night Fever,1978,23.399,92,4,16,0.826,0.00629,0.945,103.564,,,Bellamy Brothers,Let Your Love Flow,1976,13.838,589,10,94,0.553,7.16E-06,0.946,109.071,,,,F R David,Words,1982,15.115,451,10,88,0.789,2.66E-05,0.527,123.763,,,,Madonna,Take a Bow,1995,16.242,366,10,85,0.408,0,0.319,80.133,,,,Rihanna,SOS (Rescue Me),2006,14.655,495,8,87,0.671,5.07E-05,0.527,137.046,,,,Ariana Grande,"Thank U, Next",2018,3.154,,4,,0.653,0,0.412,106.966
Boney M,Rivers of Babylon,1978,23.253,96,5,18,0.851,0.000912,0.741,115.118,,,Santa Esmerelda,Don't Let Me Be Misunderstood,1977,13.828,591,8,95,0.815,0.00105,0.784,117.809,,,,Irene Cara,Fame,1980,14.989,458,10,89,0.802,1.24E-05,0.938,130.652,,,,Janet Jackson,Together Again,1998,15.94,384,9,89,0.648,0.0377,0.724,123.096,,,,Uncle Kracker,Follow Me,2001,14.619,501,10,88,0.585,0,0.916,105.014,,,,Childish Gambino,This Is America,2018,2.923,,5,,0.463,0,0.549,120.024
Gerry Rafferty,Baker Street,1978,17.089,321,6,43,0.349,0.028,0.421,113.762,,,Queen,We Are the Champions,1977,13.809,593,9,96,0.459,0,0.172,64.223,,,,Dire Straits,Money For Nothing,1985,14.811,475,7,91,0.655,0.000894,0.657,134.212,,,,Right Said Fred,I'm Too Sexy,1991,15.803,394,7,91,0.739,0.0122,0.836,122.113,,,,D12,My Band,2004,14.576,507,6,89,0.854,2.29E-06,0.876,120.024,,,,Clean Bandit & Demi Lovato,Solo,2018,2.793,,6,,0.636,6.66E-05,0.565,105.005
Bonnie Tyler,It's a Heartache,1978,16.589,349,7,49,0.487,0.000868,0.553,118.913,,,Carole King,It's Too Late,1971,13.74,601,10,97,0.441,0.00562,0.811,208.282,,,,Guns n' Roses,Sweet Child O' Mine,1988,14.719,489,5,94,0.952,0.0857,0.624,125.303,,,,All Saints,Never Ever,1998,15.714,404,10,92,0.541,0,0.309,134.187,,,,Madonna,American Pie,2000,14.452,515,7,91,0.734,0,0.591,124.036,,,,Camila Cabello & Young Thug,Havana,2018,2.745,,7,,0.523,3.56E-05,0.394,104.988
Exile,Kiss You All Over,1978,15.238,447,8,65,0.267,0.000447,0.497,102.428,,,Stevie Wonder,Superstition,1973,13.668,611,9,100,0.634,0.0064,0.872,100.499,,,,Joe Dolce,Shaddup You Face,1981,14.704,491,9,95,0.705,0,0.772,119.439,,,,Red Hot Chili Peppers,Under the Bridge,1992,15.648,409,8,93,0.345,0.000105,0.458,84.581,,,,Beyonce,Single Ladies (Put A Ring On It),2009,14.451,516,8,92,0.584,0,0.272,193.437,,,,Kanye West & Lil Pump,I Love It,2018,2.544,,8,,0.522,0,0.329,104.053
The Rolling Stones,Miss You,1978,14.626,498,9,75,0.71,0.0215,0.845,109.689,,,Al Green,Let's Stay Together,1972,13.226,664,8,,0.397,0.0115,0.507,101.985,,,,Chris de Burgh,The Lady in Red,1986,14.625,499,8,96,0.294,3.34E-06,0.491,76.698,,,,Joan Osborne,One of Us,1996,15.417,431,10,94,0.499,1.81E-05,0.403,174.782,,,,Christina Aguilera,Ain't No Other Man,2006,14.382,522,9,94,0.742,0.00855,0.511,127.91,,,,Calvin Harris & Dua Lipa,One Kiss,2018,2.456,,9,,0.862,2.19E-05,0.592,123.994
Frankie Valli,Grease,1978,14.595,504,10,76,0.464,0,0.872,109.374,,,Donny Osmond,Puppy Love,1972,13.165,675,9,,0.681,7.98E-06,0.538,102.338,,,,Dolly Parton,9 to 5,1981,13.11,682,10,,0.783,1.54E-06,0.813,105.39,,,,C&C Music Factory,Gonna Make You Sweat (Everybody Dance Now),1991,15.384,434,8,95,0.798,0.675,0.794,112.187,,,,Eminem,The Real Slim Shady,2000,14.328,528,8,95,0.661,0,0.76,104.504,,,,Maroon 5 & Cardi B,Girls Like You,2018,2.267,,10,,0.541,0,0.488,124.959
Blondie,Heart of Glass,1979,25.578,57,1,10,0.577,0.00836,0.845,114.478,,,Gilbert O'Sullivan,Alone Again (Naturally),1972,12.743,737,10,,0.464,0.000133,0.559,171.762,,,,Elton John,Nikita,1985,14.408,521,8,,0.656,0.000264,0.752,86.605,,,,Elton John,Something About the Way You look Tonight,1997,14.848,470,9,96,0.52,0.000374,0.511,143.503,,,,O-Zone,Dragostea Din Tei,2004,14.231,541,7,97,0.968,0,0.706,130.093,,,,,,,,,,,,,,
Chic,Le Freak,1979,23.788,86,2,14,0.641,6.42E-05,0.903,118.533,,,Gilbert O'Sullivan,Get Down,1973,12.958,702,10,,0.888,8.39E-06,0.919,124.659,,,,Madonna,Crazy For You,1985,14.104,554,9,,0.719,0,0.511,95.001,,,,Billy Joel,The River of Dreams,1993,14.814,473,10,97,0.749,5.21E-06,0.437,89.646,,,,R Kelly,Ignition,2003,14.14,551,10,99,0.523,0,0.855,133.024,,,,,,,,,,,,,,
Gloria Gaynor,I Will Survive,1979,22.062,128,3,21,0.725,0.00805,0.529,116.67,,,The Hollies,The Air That I Breathe,1974,12.936,708,8,,0.473,0.00164,0.246,167.792,,,,Murray Head,One Night in Bangkok,1985,14.075,558,10,,0.578,0.000315,0.621,108.703,,,,Alannah Myles,Black Velvet,1990,14.342,525,8,,0.366,9.04E-05,0.469,91.147,,,,Bon Jovi,It's My Life,2000,14.005,566,9,,0.913,1.35E-05,0.544,119.992,,,,,,,,,,,,,,
Patrick Hernandez,Born to Be Alive,1979,21.408,145,4,25,0.867,0,0.809,131.467,,,Wings,Band On the Run,1974,12.624,757,9,,0.557,0.00137,0.634,124.994,,,,Europe,The Final Countdown,1986,14.294,533,9,,0.844,0.00084,0.185,117.652,,,,Snap,The Power,1990,14.264,538,9,,0.88,0.00803,0.707,108.899,,,,The Backstreet Boys,Shape of My Heart,2000,13.514,631,10,,0.786,0,0.518,96.102,,,,,,,,,,,,,,
Bee Gees,Tragedy,1979,20.404,165,5,27,0.532,0.0109,0.81,117.955,,,The Rubettes,Sugar Baby Love,1974,12.606,758,10,,0.768,0.0181,0.791,129.694,,,,Prince,Kiss,1986,13.928,573,10,,0.271,0.00138,0.742,111.485,,,,Lisa Stansfield,All Around the World,1990,14.115,553,10,,0.727,6.81E-06,0.652,100.526,,,,U2,Vertigo,2004,13.857,584,8,,0.819,0.00108,0.632,140.083,,,,,,,,,,,,,,
